Variable Name,Variable Label,File Component,Variable type
P1TUITION,P1 F09 Has information on tuition and mandatory fees at specific college,BY parent instrument,
P1HELPPAY,P1 F19 Family plans to help 9th grader pay for postsecondary education,BY parent instrument,
P1SAVEDPAY,P1 F21 Amount currently set aside for 9th grader's future educational needs,BY parent instrument,
M1HIDEG,M1 A04 Math teacher's highest degree earned,BY math teacher instrument,
N1HIDEG,N1 A04 Science teacher's highest degree earned,BY science teacher instrument,
A1YRSADMIN,A1 E10 Years served as principal of any school,BY administrator instrument,
C1HRSCOLLEGE,C1 A05B % hours counseling staff spent on college readiness/selection/apply,BY counselor instrument,
C1HRSCAREER,C1 A05C % hours counseling staff spent on occupational choice/career planning,BY counselor instrument,
X3TGPA9TH,X3 GPA: ninth grade,HS Transcript student level composites,
X3TGPATOT,X3 Overall GPA computed,HS Transcript student level composites,
X3TGPAWGT,"X3 Overall GPA computed, honors-weighted",HS Transcript student level composites,
X4ATNDCLG16FB,X4 Whether respondent was enrolled in postsecondary education in February 2016,,Outcome
X4PSENRSTLV,X4 Enrollment status with level in February 2016,,Outcome
